item_id1,item_id2,result
53080670-99,57075936-99,0
53030691-OR,53080809-OR,1
57006706-99,51063787-50,0
51000639-02,53083037-05,1
53023028-99,57030776-99,0
53020608-07,53113782-OR,1
57022511-PL,57012001-05,0
53040519-08,53070631-08,1
57095978-37,57082509-99,0
53060711-37,53043037-OR,1
57022895-TN,57050161-01,0
53050576-01,53091158-OR,1
57015799-94,57044781-TO,0
53080809-OR,51000639-99,1
67020051-PL,57012884-99,0
43077762-01,43073737-OR,1
57051087-TM,57058269-PL,0
53050576-01,43035019-08,1
67050292-PL,57050302-07,0
51000640-02,41045021-02,1
47050031-99,51085724-05,0
43073737-OR,53050576-01,1
53091158-OR,57030423-52,0
43057767-70,51000640-12,1
57050118-OR,57023775-06,0
43015037-12,43035023-12,1
53080828-OR,57072003-01,0
43005802-OR,53090511-CU,1
57029098-99,53030715-OR,0
43050805-OR,51000640-37,1
53015776-07,57016027-91,0
41047044-20,43023758-08,1
57030257-02,53090693-08,0
43075794-OR,43073737-OR,1
57044776-99,57084028-OR,0
43097754-99,51000640-99,1
53040605-CU,67090599-43,0
43057797-07,43077738-99,1
53070830-OR,57006017-OR,0
53030594-08,43063738-46,1
57050294-PL,47087877-01,0
53050803-OR,51000896-99,1
57081168-OR,53040578-01,0
53030963-99,53081158-OR,1
57002542-OR,57004438-05,0
53033776-OR,53193794-OR,1
53030691-OR,57040365-99,0
53090511-CU,53030691-OR,1
57030411-OR,57040598-99,0
53080809-OR,53070631-08,1
57022511-PL,57065794-99,0
51000910-43,53070616-07,1
57048635-36,53050630-09,0
53030691-OR,53080828-OR,1
57054422-08,53005785-99,0
51000911-TM,53080871-99,1
57006707-99,57010612-99,0
53030594-08,51000912-TM,1
53097657-99,57050294-PL,0
53050581-11,53040712-OR,1
57040251-02,51030639-37,0
53060511-08,53030691-OR,1
57061172-CU,57050100-05,0
53080828-OR,53080871-99,1
53050683-92,57013807-99,0
43063738-46,53040578-01,1
41083009-08,53050683-92,0
53043037-OR,53033776-OR,1
53083780-99,57020047-99,0
51000943-07,43035720-01,1
57052894-TA,47014025-OR,0
53070592-08,53040521-07,1
57085134-99,67080550-07,0
53030715-OR,51000943-30,1
57056013-92,57045808-30,0
53060518-02,53020607-07,1
43073754-OR,53090751-OR,0
53103803-OR,53050829-OR,1
53030613-05,53033751-99,0
51000949-02,53010582-BL,1
47037825-CU,53030963-99,0
53050576-01,53091158-OR,1
57058274-95,53005032-TU,0
53080809-OR,51001127-15,1
47017851-01,43063738-46,0
53080544-05,53050624-01,1
57029083-09,51083028-01,0
53030691-OR,53043037-OR,1
53095770-01,53091158-OR,0
51001127-99,51023743-09,1
57065943-99,53090511-CU,0
53020607-07,53103803-OR,1
57094431-DI,47037825-99,0
53050829-OR,51003031-01,1
53053749-37,57010046-99,0
51021048-02,53117744-99,1
47050031-99,57010282-01,0
53060518-02,53030691-OR,1
53080828-OR,57014427-78,0
51003031-50,53021059-08,1
53033787-92,57050487-01,0
43073737-OR,53040609-CU,1
57002542-OR,57084783-99,0
53090511-CU,53080809-OR,1
53033759-99,57083795-99,0
53020608-07,53030963-99,1
47091248-31,57012511-99,0
53033776-OR,51003051-99,1
53030685-70,53013792-99,0
53080809-OR,53020608-07,1
57007776-65,53021097-OR,0
53193794-OR,53080871-99,1
57008630-49,53000588-02,0
53050576-01,43003754-OR,1
57050230-99,53060518-02,0
53091158-OR,51003711-01,1
57027691-TO,53043047-37,0
51070804-99,51053024-99,1
53055742-99,53025026-52,0
53030963-99,53090827-OR,1
57083795-99,53003799-02,0
51003746-76,53063783-32,1
57098272-09,43047758-05,0
53091158-OR,53090511-CU,1
53080716-OR,57057891-99,0
53080809-OR,53040593-08,1
57000159-52,57015932-CU,0
53091158-OR,53080809-OR,1
57040031-12,53030691-OR,0
51003746-99,53035033-43,1
53080716-OR,53003729-99,0
53080809-OR,51003749-99,1
57050491-PL,57037879-OR,0
51083785-94,53090580-57,1
57094763-TN,57066023-01,0
53080809-OR,53117744-99,1
57064001-02,67020050-PL,0
51003750-99,51043731-99,1
53045763-99,57072506-TC,0
53013741-99,53005785-31,1
47093774-99,57037902-99,0
53091158-OR,53080809-OR,1
57040080-08,53000578-05,0
51005035-79,53070821-TN,1
53083780-99,53033750-32,0
53080809-OR,51005037-20,1
57085134-99,53030691-OR,0
53005032-TU,57075781-99,1
57075911-99,57036020-DI,0
51005038-02,51025030-30,1
53053793-OR,57086313-95,0
53005032-05,53093739-99,1
57073799-99,53063770-02,0
53023748-99,57015905-32,1
53045707-08,57094414-02,0
53080809-OR,57075781-99,1
57012527-OR,47087124-DC,0
51005038-99,51065030-05,1
53040578-01,57040158-99,0
57015932-CU,57065904-99,1
47014033-CU,53015038-05,0
53033776-OR,51005040-52,1
57024405-TN,57020047-99,0
51070902-99,57075911-99,1
53020744-28,57020012-01,0
53020588-99,53073754-OR,1
53025778-99,57099082-37,0
53103798-OR,51005042-99,1
57004440-14,57072001-01,0
53073709-99,53063765-99,1
53060511-08,53050616-01,0
53030691-OR,53080828-OR,1
53070567-02,57006704-32,0
51005744-49,51075736-49,1
57040278-99,57025937-30,0
57006707-99,53095768-99,1
57050336-PL,43037798-07,0
53003736-05,53050961-11,1
57072889-99,57010275-OR,0
53020588-99,53073754-OR,1
57050088-02,57042511-99,0
51005744-79,51075736-79,1
53080809-OR,53090529-99,0
53080778-99,57055921-02,1
57084028-OR,57082892-99,0
53080809-OR,51005744-99,1
57003822-34,57016013-65,0
51075736-99,53065769-99,1
53080809-OR,53003753-CU,0
53083780-99,53073755-08,1
47037825-CU,57007894-05,0
53091158-OR,57075781-99,1
57097758-09,57050086-99,0
53073754-OR,51005750-07,1
53193794-OR,67040073-90,0
53025031-05,53025032-05,1
53193794-OR,53070717-OR,0
53091158-OR,53030691-OR,1
57025801-95,57050294-OR,0
53080828-OR,53090733-99,1
57094028-99,57095919-61,0
51005750-99,53005765-99,1
57085938-10,53030691-OR,0
53080809-OR,53050624-01,1
53090733-99,57030034-20,0
51005757-99,53015744-09,1
53050576-01,57006014-PL,0
53030691-OR,53065769-99,1
53030691-OR,57025943-05,0
51005758-30,51053704-99,1
53080828-OR,53095775-99,0
51035743-08,57035910-99,1
57040239-83,53080809-OR,0
53030691-OR,53050624-01,1
53080716-OR,57014425-PL,0
51010936-02,43045778-99,1
57042524-OR,57074411-92,0
43025785-OR,53000588-TN,1
57020363-OR,57000340-TN,0
53050576-01,53030691-OR,1
53060830-OR,53095780-08,0
53040593-08,51011025-02,1
57009106-49,53080809-OR,0
53060511-08,53060830-OR,1
53090511-CU,53060518-02,0
51011028-70,53050630-09,1
57012897-46,57010612-99,0
53040578-01,53020608-07,1
51040845-02,57050027-52,0
51013050-85,53033767-90,1
43095018-28,57067702-99,0
53080809-OR,53193794-OR,1
47084411-99,53093047-99,0
51070902-99,51013052-11,1
57015974-99,57083819-01,0
53093047-99,53020589-99,1
51000638-99,57011171-05,0
53030691-OR,53043037-OR,1
57000168-99,57001097-99,0
53117744-99,53021059-08,1
51063787-01,47037835-OR,0
53060830-OR,51013711-02,1
57010951-05,53000759-99,0
53030691-OR,53080828-OR,1
57002512-99,51085029-02,0
53090580-57,51013711-16,1
57005813-94,51023740-02,0
53000588-02,53000759-99,1
57040261-28,57050276-52,0
53080809-OR,51013711-43,1
57005929-PL,67040535-99,0
57029216-99,57064001-TN,1
57002513-99,57064028-09,0
57065784-02,53015777-99,1
57036004-OR,57064016-99,0
53070830-OR,53040712-OR,1
53080809-OR,57010601-82,0
53060830-OR,51070902-99,1
47005582-99,53070824-46,0
53050961-11,51013711-50,1
53021099-OR,57024421-99,0
53080828-OR,53117744-99,1
47067818-01,53000928-37,0
51070902-99,51013711-52,1
57085801-70,57010037-99,0
53070830-OR,53040712-OR,1
57039203-43,53073023-76,0
51013711-99,53060830-OR,1
53097020-81,57014045-PL,0
53090580-57,53000588-02,1
53020578-07,57020012-01,0
53091158-OR,53080809-OR,1
57089210-99,43005802-OR,0
51013728-08,53063776-02,1
57057712-30,57005937-OR,0
53005769-05,53075779-99,1
57040253-99,53080544-05,0
53080809-OR,51013728-30,1
57000256-99,47939042-88,0
53023716-07,53050690-01,1
57005925-OR,57040279-07,0
53030691-OR,53020589-99,1
57075781-99,57065925-99,0
51013728-99,53073709-72,1
53030691-OR,57030252-83,0
53083725-01,53023028-99,1
53000877-56,53003757-09,0
53080809-OR,53080778-99,1
57062888-85,53080544-05,0
51013730-56,51043728-56,1
57027713-99,67090517-99,0
53090742-99,53013794-CU,1
57012511-99,53080920-99,0
53080809-OR,53080778-99,1
67050292-PL,47061508-99,0
53090742-99,51013730-57,1
57064016-01,53000586-99,0
51043728-57,53013793-99,1
53033776-OR,53093787-OR,0
53030691-OR,53080828-OR,1
57006707-99,57050026-11,0
53075779-99,51013750-02,1
53030594-08,57084408-35,0
53090544-05,53005783-CG,1
57005952-PL,57064001-TN,0
53000759-99,51013750-37,1
53060518-02,57005925-OR,0
53030691-OR,53080828-OR,1
57040073-05,57015909-42,0
53081158-OR,51013750-99,1
53073037-99,57091502-OR,0
53025025-05,53063786-99,1
57014778-01,57081168-OR,0
53103803-OR,53030963-99,1
53083025-02,57000094-98,0
53193794-OR,51013758-99,1
57096026-99,53080809-OR,0
53091158-OR,53031097-OR,1
57096026-99,57062508-08,0
51013791-02,53010582-01,1
57004781-99,51093712-06,0
51085029-02,53000625-99,1
67010361-PL,53073023-76,0
53050803-OR,53005032-TU,1
53000578-01,53033026-99,0
51013791-30,53071028-30,1
57050294-OR,57095920-OR,0
53021099-OR,53083780-99,1
57039207-99,57034418-78,0
51013791-95,51095024-91,1
53093047-99,57034026-99,0
53010582-TM,53020749-92,1
57002536-OR,57000458-99,0
53033776-OR,53073754-OR,1
53031097-OR,53031097-OR,0
53023028-99,51015015-99,1
57081167-99,43090723-OR,0
57075782-77,53020942-99,1
43063737-OR,53070540-07,0
53030691-OR,53075779-99,1
57002535-OR,53083780-99,0
51015712-99,53023716-99,1
53063039-02,47075965-80,0
53103798-OR,51015719-09,1
53050548-99,57009211-91,0
53073755-79,53083713-05,1
57041178-OR,57085801-99,0
53023770-04,53043746-32,1
57051087-TM,51035026-30,0
53080809-OR,53090580-57,1
57047738-TS,53091158-OR,0
53020588-99,53010582-TM,1
53021099-OR,57055804-52,0
51015719-69,53045718-17,1
53040881-37,47067661-08,0
53103798-OR,57006707-99,1
57015795-99,57040376-OR,0
53013773-99,51015719-99,1
53040604-CU,53060518-02,0
53003729-05,51080862-99,1
53103700-TN,57064001-02,0
53080828-OR,57006707-99,1
53063786-99,57092512-32,0
51015735-01,53045718-99,1
57030033-99,51080613-11,0
53093765-99,57005952-PL,1
57095920-OR,53103803-OR,0
53080809-OR,57075911-99,1
53043775-99,57040459-99,0
53031097-OR,51015735-99,1
57050294-OR,57023805-99,0
53060522-99,53045014-99,1
57075782-CG,53091158-OR,0
53091158-OR,53031097-OR,1
53060511-08,57065799-94,0
51085029-02,53071028-30,1
57085938-10,53000591-TO,0
51015740-02,53023736-05,1
57065794-99,67010361-PL,0
53005032-05,51015740-99,1
57085801-99,51073785-99,0
57065943-99,67040592-08,1
57024408-99,57093253-01,0
57047881-OR,57015922-OR,1
57065921-30,57061167-08,0
53033776-OR,57075911-99,1
51033785-20,57080977-11,0
53073754-OR,51015752-99,1
53191158-46,57046017-92,0
53073754-OR,53095768-99,1
57050321-99,57004434-99,0
53065769-99,51015763-02,1
57040363-01,57040253-99,0
51033727-92,53063732-01,1
57050006-99,41057806-05,0
53080828-OR,53031097-OR,1
47004035-30,53021098-OR,0
51015766-92,53025016-08,1
47078649-TM,57004423-70,0
53095770-52,57085911-92,1
57097715-05,57001115-85,0
53090511-CU,51020621-37,1
53080809-OR,57002513-99,0
41041002-37,43013764-01,1
57012511-99,57064028-09,0
43053725-OR,43069088-08,1
57095794-99,57006730-OR,0
43075794-OR,53040521-07,1
57066025-94,57010749-70,0
43069088-08,51020621-85,1
57050081-52,53015750-08,0
43099073-10,43013748-09,1
53071140-23,53050829-OR,0
43005802-OR,43073737-OR,1
53045769-06,53020885-05,0
43063738-46,43025786-OR,1
57016021-PL,53023035-OR,0
53030636-07,51020622-02,1
53075776-CG,57083808-99,0
43057762-01,43023733-09,1
53045770-02,53033767-90,0
43063738-46,53030636-07,1
57077731-08,47027877-99,0
43003754-OR,53040593-08,1
51090921-37,47067882-08,0
43080721-OR,43053725-OR,1
57017689-99,57000118-99,0
51020622-08,41005828-05,1
57002513-99,47061508-01,0
43080787-35,43025787-OR,1
57055921-02,57000358-12,0
43005802-OR,43073737-OR,1
53030691-OR,51075736-99,0
43063738-46,43025786-OR,1
43087766-OR,57047652-OR,0
43003756-OR,51020622-92,1
53090511-CU,57051087-TM,0
43087018-BL,43027025-99,1
57004051-OR,57005937-OR,0
43063724-OR,43085020-99,1
53080809-OR,53090511-CU,0
43073737-OR,43097754-99,1
57084430-11,57056013-92,0
41005828-05,51020639-02,1
57086309-99,57001066-56,0
43095747-99,44045825-OR,1
47046706-CU,57014425-PL,0
43025786-OR,53090511-CU,1
57040251-02,53005774-99,0
41041002-37,43003756-OR,1
53040521-07,53063786-99,0
51020639-37,53050683-92,1
53050625-28,53050635-30,0
43003754-OR,51020639-99,1
43087779-TN,53005748-30,0
43015730-85,43047752-99,1
57022510-99,57069209-99,0
43073754-OR,43063737-OR,1
47055950-PL,57007653-30,0
53050548-99,53090511-CU,1
57050437-PL,57045922-99,0
53080809-OR,53090827-OR,1
57056022-99,43073754-OR,0
51013711-99,51070804-99,1
53193794-OR,51033727-92,0
51020771-99,53063037-OR,1
53023770-04,53063757-50,0
53191158-46,53040904-02,1
57039052-99,53020588-99,0
53090511-CU,53030691-OR,1
57050294-OR,57043797-99,0
53060830-OR,51020812-70,1
57047881-OR,57012518-99,0
43035764-08,53050681-OR,1
47037825-CU,57057737-20,0
53030594-08,53090511-CU,1
57040251-02,57026006-OR,0
53030691-OR,53050682-70,1
57022511-PL,53043794-99,0
53060830-OR,51020888-40,1
57050294-PL,57050271-OR,0
53030691-OR,53117744-99,1
53073042-28,57092881-99,0
51020984-99,51030703-05,1
53050518-99,51085029-02,0
53040578-01,41069066-05,1
53083780-99,53103798-OR,0
51021048-02,53060830-OR,1
53080920-99,57083261-99,0
53063037-OR,53080868-50,1
53080809-OR,53025026-99,0
53060518-02,53080809-OR,1
53080662-20,47005949-05,0
53023750-01,53023736-05,1
57006707-99,57093253-01,0
51021143-20,43055769-99,1
47016322-99,53085769-33,0
53071140-23,53051142-20,1
57099122-05,53060609-02,0
53060518-02,53050548-99,1
57002542-OR,53080778-99,0
53080809-OR,53031097-OR,1
53055717-99,57064001-37,0
51023026-08,53053715-06,1
57040274-OR,57006705-99,0
53030691-OR,53080716-OR,1
47040358-OR,57077687-99,0
53093739-99,51023026-17,1
57005802-05,57037880-OR,0
51060677-08,53070721-05,1
57092001-99,53070631-08,0
53081158-OR,53000759-99,1
57002515-50,57020012-01,0
51023030-01,53010582-TO,1
57041000-PL,53060569-32,0
53083744-07,53090616-99,1
57050294-PL,43017744-99,0
53030594-08,53080809-OR,1
57007887-90,53030888-05,0
51023030-56,53063757-50,1
57033814-76,53020670-01,0
51070902-99,53093047-99,1
57050265-05,53103804-OR,0
51023052-70,53020606-99,1
53003751-99,57095991-43,0
51023052-99,53061101-62,1
53043037-OR,67050439-PL,0
53053033-99,53060568-99,1
53050682-70,53080809-OR,0
57075781-99,51023700-69,1
51093712-06,57010282-01,0
53003732-99,53103700-TN,1
43088834-05,57004047-OR,0
53020607-07,43003754-OR,1
53090511-CU,57084388-99,0
53091158-OR,53021059-08,1
53063757-50,57040385-46,0
51093712-06,51023711-02,1
57022511-PL,53080809-OR,0
51070902-99,51023711-99,1
57006704-32,47064017-37,0
53020608-07,53030963-99,1
57013784-05,67050292-PL,0
53050831-OR,51023731-08,1
57029121-OR,53051011-PL,0
53030691-OR,53030963-99,1
57024035-01,57000439-43,0
51013711-02,53080920-99,1
51033742-99,57042524-PL,0
51023731-56,51033730-56,1
53045739-05,57046024-99,0
53080809-OR,53080828-OR,1
57030776-99,57016021-PL,0
51023739-02,53075025-05,1
53073755-08,53095770-52,0
53065762-05,53050518-99,1
53091015-05,57035910-07,0
53103796-OR,51023739-43,1
57053805-TM,53000586-TC,0
53103798-OR,51023739-99,1
57057707-09,57044426-TM,0
53063745-07,53075776-CG,1
57040274-OR,57093809-99,0
53091158-OR,53003778-OR,1
53090511-CU,57075781-99,0
53023028-99,53063786-99,1
57000316-37,53191158-46,0
51023740-02,51061123-01,1
57000377-OR,51083028-56,0
53030691-OR,51023740-43,1
53003060-PL,53030666-26,0
53093764-05,53083765-05,1
57040080-08,53030691-OR,0
53000588-TN,51033727-92,1
57037879-OR,57062881-01,0
51023740-79,53043747-99,1
57096007-99,57040274-PL,0
53013793-99,53063786-99,1
57023817-40,53080809-OR,0
51023740-99,51070891-37,1
57071176-99,53070644-18,0
53065769-99,53083780-99,1
57024405-TN,57050079-40,0
51023743-02,57064001-37,1
57043797-99,53090511-CU,0
53091158-OR,51023743-09,1
57094012-05,57040163-02,0
53003778-OR,53063786-99,1
57008632-99,57026012-08,0
53065024-30,53030587-99,1
57071176-99,53053731-01,0
53030691-OR,53080828-OR,1
57064001-TN,57094033-PL,0
57045924-99,51080862-99,1
53080809-OR,53003753-CU,0
51023743-99,53073772-80,1
53023750-01,57006014-PL,0
53050576-01,53091158-OR,1
47014025-OR,57045797-99,0
53080544-05,53003778-OR,1
57035922-99,51093712-06,0
51023749-45,51053748-45,1
53080920-99,53030636-07,0
53081158-OR,53033776-OR,1
43057767-70,57030982-PL,0
53005785-31,53073755-08,1
53060712-03,51005038-02,0
53075776-CG,51023794-09,1
53063765-99,53043777-CU,0
53080809-OR,53080716-OR,1
53080809-OR,57055979-92,0
53065769-99,51023794-37,1
57050099-PL,57010275-OR,0
53025037-37,53023750-99,1
53020686-TM,57089210-99,0
53080809-OR,53023750-01,1
57010275-OR,53060518-02,0
53023028-99,51025015-99,1
57004052-PL,51050897-37,0
53033776-OR,53073754-OR,1
57004440-14,57022511-PL,0
51025024-TM,57064001-TM,1
53023028-99,57000094-98,0
57005506-80,53015772-30,1
57072881-46,57015902-31,0
51005038-02,51025030-30,1
57006014-PL,57043797-99,0
53005032-05,53093739-99,1
57084388-99,57040037-99,0
53023748-99,57015905-32,1
67040526-99,53000995-01,0
53033776-OR,51053024-99,1
53040541-TN,57040312-99,0
53073754-OR,53023028-99,1
57047881-OR,53095780-08,0
53070830-OR,53040712-OR,1
57043823-05,53113782-OR,0
53060830-OR,53023028-99,1
57038274-01,53053793-OR,0
51025720-07,53003729-99,1
57050294-PL,51043727-92,0
53050616-01,53070830-OR,1
57063262-99,53080809-OR,0
53040712-OR,53050624-01,1
53080586-56,53030691-OR,0
53060830-OR,51025720-91,1
57022883-99,57014425-PL,0
53103798-OR,53023770-04,1
57074406-99,57001081-50,0
51025722-05,53015776-07,1
57095782-30,47018645-05,0
53020884-01,53090591-12,1
57015798-43,53043036-09,0
53013741-99,51025722-99,1
53030963-99,51090921-54,0
53073754-OR,53021098-OR,1
47017132-TC,67030527-PL,0
51025734-07,53085759-01,1
57050311-05,67010057-PL,0
53030751-28,53080567-CU,1
53063786-99,47085855-99,0
57005952-PL,51025734-30,1
57086003-PL,57042510-99,0
53087017-30,53075019-02,1
57096026-99,57014406-BL,0
53080805-92,57095923-CU,1
47044016-01,57005937-OR,0
51070902-99,57005952-PL,1
53010995-99,57069079-99,0
53080920-99,51025759-99,1
53003725-05,57040153-52,0
53060518-02,43063738-46,1
53060914-06,57010042-05,0
43053725-OR,43087018-BL,1
57094033-PL,57040274-OR,0
51030620-02,43033720-52,1
53025778-99,47005949-99,0
43063762-08,43057755-05,1
57003826-05,53040712-OR,0
53060518-02,53060511-08,1
43005827-05,57077878-09,0
43005802-OR,43073737-OR,1
57055937-01,53055717-99,0
43030693-OR,43087018-BL,1
43090723-OR,57040323-52,0
51030620-52,43060860-03,1
51015735-99,47056715-PL,0
43005802-OR,43073737-OR,1
67090588-99,53020604-02,0
43063738-46,53050576-01,1
53003751-99,57020268-05,0
43030693-OR,43013764-01,1
57039203-99,57057700-99,0
43060860-03,51030620-85,1
53033766-OR,57039046-94,0
53030691-OR,53080716-OR,1
57037751-99,57010241-01,0
41045021-02,53050581-11,1
47015923-99,51061123-01,0
53050831-OR,53090591-12,1
53070610-01,51020639-99,0
53090511-CU,53070592-08,1
57050294-PL,53093739-99,0
53030681-43,43025787-OR,1
47027837-OR,53033750-32,0
51030638-14,53080687-14,1
57097887-79,53020585-99,0
53020607-07,53030636-07,1
51060618-79,57005911-94,0
43003754-OR,53091158-OR,1
57056013-70,53000759-99,0
53053763-30,51030638-45,1
57084388-99,43005802-OR,0
43067759-01,53060518-02,1
57069105-99,47005919-CU,0
43057767-70,43050805-OR,1
57057725-05,53050681-OR,0
51030639-02,43085809-28,1
57045981-17,57083795-99,0
43087766-OR,43045788-28,1
57072001-01,47005943-01,0
53030636-07,53040593-08,1
57027888-01,57050294-PL,0
43025785-OR,51030639-37,1
57083273-PL,53013788-99,0
41057801-20,43003751-OR,1
57027754-52,57050311-07,0
53060518-02,43005802-OR,1
53000625-99,57085938-10,0
43035019-08,43050805-OR,1
53033761-99,37095905-56,0
43073754-OR,51030639-99,1
57065149-99,67020050-PL,0
43005802-OR,43073737-OR,1
57050230-01,57037879-OR,0
43063738-46,43030693-OR,1
53080809-OR,57031151-01,0
43027025-99,51030644-02,1
53060522-99,43060860-03,0
43063738-46,43030693-OR,1
57056013-92,57027691-TO,0
43047758-05,43063738-OR,1
53055717-99,57012879-TN,0
43053725-OR,51030644-85,1
53020588-99,43035779-99,0
43047042-07,43085744-08,1
57054386-05,57042511-99,0
43005802-OR,43073737-OR,1
53050624-01,57045791-99,0
43025786-OR,43030693-OR,1
47004028-PL,57035803-94,0
43047758-05,43063738-OR,1
51090613-01,53030572-32,0
53040578-01,43095747-99,1
57092882-99,57145963-98,0
53060511-08,53090511-CU,1
57010042-05,57055147-99,0
53040521-07,53090827-OR,1
57000031-68,57024405-TN,0
53025025-05,53063037-OR,1
43003746-05,57051178-OR,0
53040904-02,51030703-05,1
51053024-05,53053793-OR,0
53090636-99,53060745-02,1
57065939-99,57010275-OR,0
53020578-07,53050753-32,1
53005774-99,43025786-OR,0
53030691-OR,53060830-OR,1
57063811-99,47015923-99,0
53050630-09,53050681-OR,1
53033778-52,43073754-OR,0
51030704-05,53050580-05,1
57045798-99,47015918-09,0
41083009-02,53050615-01,1
57050294-OR,57065789-99,0
53060511-08,53090511-CU,1
57010603-99,57065143-99,0
53050803-OR,53080828-OR,1
51023740-02,53090511-CU,0
43005802-OR,43085020-99,1
57094432-30,53090511-CU,0
51030736-70,43013764-99,1
53000586-99,57096312-99,0
53030691-OR,53080828-OR,1
57087888-99,57083801-30,0
53043037-OR,53093739-99,1
43087779-TN,53003764-OR,0
51070902-99,53003729-99,1
57046312-94,57050094-80,0
53003778-OR,53023716-07,1
53080809-OR,53080809-OR,0
53023770-04,57095923-CU,1
57040042-PL,53090511-CU,0
51030857-20,53033714-06,1
57017728-05,53013773-99,0
43063738-46,53040578-01,1
57010601-99,53043777-CU,0
53080809-OR,53030963-99,1
51015766-92,53000586-TN,0
53081158-OR,53193794-OR,1
57023818-05,57044035-99,0
53050682-70,43015793-OR,1
57029108-99,57083254-PL,0
51030904-08,53050545-05,1
43003754-OR,57002885-99,0
53030691-OR,53060830-OR,1
57059805-02,53090511-CU,0
53050961-11,53050615-01,1
57077749-DI,47077845-99,0
51030979-07,41067806-05,1
41037796-26,57014778-99,0
53070830-OR,53050581-11,1
57084388-78,57024778-OR,0
53060830-OR,53090591-12,1
57010036-PL,57005939-OR,0
51030981-43,41047031-01,1
57020041-99,53020816-02,0
53090511-CU,53080809-OR,1
53073754-OR,57005943-OR,0
53050624-01,51031014-70,1
57043822-43,57044377-99,0
53040609-CU,53090511-CU,1
47005922-CU,57045798-84,0
53053763-30,51031014-99,1
57085976-40,53030636-07,0
53040578-01,53090511-CU,1
53060637-30,43035019-08,0
53080809-OR,53053763-30,1
57075781-99,53060830-OR,0
53081158-OR,53031097-OR,1
57098272-09,57000405-99,0
53021098-OR,51031021-43,1
53080809-OR,53033778-50,0
53050576-01,53050829-OR,1
57000169-02,53060603-28,0
43003754-OR,53020608-07,1
53031097-OR,43075810-99,0
53090511-CU,53080809-OR,1
53070830-OR,57034381-33,0
53020608-07,53031097-OR,1
53050632-08,57050294-OR,0
53023736-05,51031081-85,1
53060518-02,57077756-05,0
53030636-07,53030691-OR,1
57022897-05,53113781-09,0
53070830-OR,53080828-OR,1
57064001-TN,53040578-01,0
51030705-05,51031116-02,1
53050831-OR,43003754-OR,0
53043759-79,53060603-28,1
51033029-70,57002513-99,0
53060518-02,53030691-OR,1
57025937-30,53060603-28,0
51031125-15,43088834-05,1
53085759-01,57074783-99,0
53030691-OR,53023750-01,1
51063704-92,47033255-99,0
51053024-99,53060522-99,1
53063794-02,57031170-PL,0
53043747-99,51031125-99,1
57094419-32,57005939-OR,0
53090511-CU,51033029-01,1
57074029-01,57056013-92,0
51083028-01,53093032-02,1
53033786-15,53021098-OR,0
53090511-CU,53080778-99,1
57017898-05,57011105-01,0
53020589-28,51033029-08,1
53010568-99,51070902-99,0
53091158-OR,53080809-OR,1
57084388-78,53030579-79,0
53193794-OR,51033029-56,1
53033778-50,53050632-08,0
51083028-56,43057761-37,1
