color1,fabric1,category1,image1,color2,fabric2,category2,image2,result
10,4,3,2019_57065939_99.jpg,9,4,7,2019_53085769_33.jpg,1
1,4,4,2019_53030691_OR.jpg,1,4,3,2019_53030636_07.jpg,0
1,1,1,2019_53063776_02.jpg,10,4,3,2019_53090733_99.jpg,0
10,5,1,2023_57056307_99.jpg,1,4,4,2023_57084028_OR.jpg,0
1,4,3,2019_53060518_02.jpg,10,4,4,2020_67010057_PL.jpg,0
10,4,7,2023_57014778_99.jpg,10,5,1,2023_57094781_99.jpg,1
1,4,4,2019_53080809_OR.jpg,10,4,3,2019_53000759_99.jpg,1
4,4,3,2023_57056013_70.jpg,10,4,4,2023_57026022_PL.jpg,1
10,4,3,2019_57006706_99.jpg,8,1,1,2019_51063787_50.jpg,0
9,4,3,2023_57072508_31.jpg,1,4,3,2023_57012512_08.jpg,0
1,4,4,2019_43030693_OR.jpg,10,5,6,2023_47068644_99.jpg,0
1,4,4,2023_57010275_OR.jpg,10,4,7,2023_57050032_99.jpg,1
10,3,1,2023_57050230_99.jpg,10,4,4,2023_57002533_PL.jpg,0
7,1,2,2019_57039203_43.jpg,10,4,7,2019_57075936_99.jpg,0
10,4,7,2023_57040076_99.jpg,10,4,3,2023_57095142_99.jpg,1
1,4,4,2023_57040300_OR.jpg,1,4,4,2019_53091158_OR.jpg,0
1,3,1,2023_57072001_01.jpg,10,4,7,2023_57040158_99.jpg,0
1,4,4,2019_53033776_OR.jpg,10,4,3,2022_37010684_99.jpg,0
1,4,4,2019_43037764_05.jpg,4,4,3,2023_57020434_70.jpg,0
8,7,2,2023_57036020_DI.jpg,1,1,1,2023_57095808_01.jpg,1
1,4,4,2023_47015850_OR.jpg,3,4,4,2019_53030714_26.jpg,0
1,4,4,2019_43015796_OR.jpg,1,4,4,2019_43090723_OR.jpg,1
8,7,2,2023_47013269_TO.jpg,10,4,3,2023_57050265_99.jpg,1
9,5,1,2023_57005798_37.jpg,10,4,3,2023_57072509_99.jpg,1
1,4,4,2023_57056018_01.jpg,1,4,4,2019_43073737_OR.jpg,0
10,4,7,2019_53083780_99.jpg,9,4,3,2024_67050279_CO.jpg,0
1,5,1,2019_57005550_05.jpg,7,1,1,2023_57043822_43.jpg,0
10,4,7,2023_57064028_99.jpg,1,5,1,2023_57017725_05.jpg,1
10,4,3,2019_53043747_99.jpg,1,4,4,2019_53073754_OR.jpg,0
1,4,4,2019_53090827_OR.jpg,1,4,4,2019_53070976_OR.jpg,1
1,4,3,2023_57085146_08.jpg,1,4,8,2023_57027738_08.jpg,1
8,7,2,2023_47013269_TO.jpg,10,4,3,2023_57050265_99.jpg,1
8,4,7,2023_57002515_50.jpg,10,1,1,2019_43067730_99.jpg,0
1,4,3,2019_53060518_02.jpg,1,4,4,2019_53080809_OR.jpg,1
8,7,2,2023_57094431_DI.jpg,1,4,3,2023_57035148_01.jpg,1
10,4,3,2019_53075779_99.jpg,10,4,7,2019_53013749_99.jpg,1
9,4,3,2023_57072508_31.jpg,1,4,7,2023_57064028_09.jpg,1
1,4,7,2019_53090517_08.jpg,10,3,6,2019_53070968_99.jpg,1
10,4,3,2023_57010040_99.jpg,4,4,8,2023_57034025_78.jpg,1
1,1,1,2019_51013711_02.jpg,1,1,1,2019_53020894_02.jpg,1
10,4,3,2023_57056013_92.jpg,1,4,4,2019_53030691_OR.jpg,0
10,4,3,2019_57025939_99.jpg,1,3,1,2023_57015981_01.jpg,0
1,3,1,2019_53083725_01.jpg,1,4,4,2019_57005933_OR.jpg,0
1,1,2,2023_57053809_08.jpg,10,4,3,2023_57002513_99.jpg,0
10,4,7,2019_53013792_99.jpg,1,3,1,2019_57004382_08.jpg,0
10,7,2,2023_47003277_TN.jpg,10,4,4,2023_57016021_PL.jpg,0
9,4,7,2019_53043746_32.jpg,7,4,3,2023_57000435_43.jpg,0
9,4,7,2019_57065921_30.jpg,1,4,4,2020_67040070_OR.jpg,1
1,4,4,2019_53080828_OR.jpg,10,4,3,2019_53095026_99.jpg,0
1,4,4,2019_53033776_OR.jpg,1,4,3,2023_57035148_01.jpg,0
9,5,1,2023_57025801_31.jpg,4,1,6,2019_57034753_70.jpg,0
1,4,4,2019_53073754_OR.jpg,1,4,4,2019_43047758_05.jpg,0
1,1,5,2019_51093712_06.jpg,9,4,7,2019_53043777_CU.jpg,0
9,4,7,2023_47005921_CU.jpg,1,4,8,2023_57040028_05.jpg,1
10,3,1,2019_53040627_99.jpg,1,4,7,2023_57031178_02.jpg,0
1,4,4,2019_53080809_OR.jpg,10,4,3,2019_53065769_99.jpg,1
10,4,3,2019_57065939_99.jpg,10,4,3,2023_57096026_99.jpg,0
9,1,2,2019_57009027_30.jpg,9,4,7,2023_57004434_CU.jpg,0
1,4,7,2019_53070631_08.jpg,1,1,1,2023_57029404_02.jpg,0
10,4,3,2019_53050591_GM.jpg,1,1,1,2019_57037688_02.jpg,0
1,1,2,2023_47007881_01.jpg,10,4,7,2023_47037654_99.jpg,1
1,4,4,2019_53063037_OR.jpg,9,4,3,2023_57094419_32.jpg,0
10,4,7,2023_57034423_99.jpg,10,4,3,2023_57022511_PL.jpg,1
1,4,7,2019_53045770_02.jpg,8,5,2,2023_57093818_52.jpg,0
10,4,4,2023_57086003_PL.jpg,10,3,1,2019_57035132_99.jpg,0
1,4,4,2023_57026007_OR.jpg,10,7,2,2023_57035138_TN.jpg,1
10,1,6,2023_57005154_99.jpg,10,1,5,2023_57074783_99.jpg,1
1,4,3,2023_57050265_05.jpg,1,4,4,2023_57000276_OR.jpg,1
1,3,1,2019_53083725_01.jpg,9,4,7,2023_57093812_30.jpg,0
1,5,1,2019_53003729_05.jpg,10,1,2,2019_51080862_99.jpg,1
8,3,1,2023_57004013_59.jpg,8,7,2,2023_57044408_DI.jpg,1
8,4,4,2023_57080977_52.jpg,10,1,2,2019_57008632_99.jpg,0
5,4,3,2023_57050094_80.jpg,1,3,1,2023_57072001_01.jpg,0
10,4,3,2019_53000625_99.jpg,8,1,6,2019_51000912_TM.jpg,0
10,4,3,2023_57096020_99.jpg,1,4,3,2019_53060518_02.jpg,0
10,1,2,2023_57072882_99.jpg,10,1,1,2023_57082003_99.jpg,1
1,4,7,2023_57002516_02.jpg,1,4,4,2019_53091158_OR.jpg,0
1,5,1,2023_57007733_05.jpg,1,7,2,2023_57098267_09.jpg,1
1,5,1,2019_53090544_05.jpg,1,4,3,2019_53023770_04.jpg,0
1,4,3,2023_57020012_01.jpg,1,4,7,2023_57050184_01.jpg,1
1,4,4,2019_43060860_03.jpg,1,4,4,2019_43003756_OR.jpg,0
1,5,1,2019_53025752_05.jpg,10,4,3,2019_53023773_99.jpg,0
10,4,4,2024_67050439_PL.jpg,10,1,6,2023_57029096_99.jpg,1
1,1,2,2019_41045021_02.jpg,10,4,7,2023_47005920_99.jpg,0
1,4,4,2019_53070830_OR.jpg,1,4,4,2019_53080809_OR.jpg,0
1,4,4,2019_53080809_OR.jpg,10,3,6,2019_51031014_99.jpg,0
1,4,4,2023_57050294_OR.jpg,10,5,1,2023_57005810_95.jpg,0
10,4,7,2023_57030033_99.jpg,9,4,3,2023_57064784_CO.jpg,0
9,4,7,2019_53043777_CU.jpg,9,4,3,2019_53093741_CU.jpg,1
10,4,7,2023_57004786_99.jpg,10,4,3,2020_67000502_99.jpg,0
1,4,4,2019_53041096_OR.jpg,10,3,1,2023_57066031_92.jpg,0
10,4,3,2019_57025939_99.jpg,10,4,3,2020_67000502_99.jpg,1
1,4,3,2023_57050091_08.jpg,9,3,1,2023_57074407_37.jpg,0
10,1,2,2023_47027877_99.jpg,1,4,3,2023_57020012_01.jpg,1
10,4,7,2023_57004430_99.jpg,1,4,4,2023_57024031_OR.jpg,1
1,4,4,2019_53030691_OR.jpg,10,4,3,2019_57006707_99.jpg,1
1,4,4,2019_53003778_OR.jpg,10,4,3,2019_53063786_99.jpg,1
10,4,3,2019_53083770_99.jpg,1,4,4,2023_57026006_OR.jpg,0
10,5,1,2019_57018266_99.jpg,9,4,7,2023_47046320_32.jpg,0
1,4,3,2019_53050630_09.jpg,7,1,2,2019_57014756_43.jpg,0
7,4,3,2023_57050109_40.jpg,8,4,4,2023_57050098_52.jpg,1
1,4,3,2023_57020012_01.jpg,1,3,2,2023_57001030_01.jpg,0
10,1,2,2019_51070902_99.jpg,2,1,1,2019_51013052_11.jpg,1
1,4,4,2019_53030691_OR.jpg,10,4,3,2019_57075911_99.jpg,0
7,3,1,2019_51023739_43.jpg,1,1,5,2019_57056709_06.jpg,0
1,3,1,2023_57010282_01.jpg,10,4,8,2019_57005911_94.jpg,0
10,4,3,2023_57056013_92.jpg,1,1,5,2019_53067018_02.jpg,0
10,1,2,2023_57086011_99.jpg,1,4,4,2023_57091502_OR.jpg,0
10,4,7,2019_53083780_99.jpg,10,4,3,2023_57020047_99.jpg,0
10,4,7,2023_57065149_99.jpg,10,4,4,2023_57094033_PL.jpg,0
1,4,4,2023_57030411_OR.jpg,4,4,3,2023_57020434_70.jpg,1
9,1,5,2019_51065748_30.jpg,10,4,4,2023_57004052_PL.jpg,0
10,4,4,2023_57020045_PL.jpg,8,3,1,2023_57001104_52.jpg,1
10,4,3,2023_57066011_99.jpg,1,4,4,2019_53080716_OR.jpg,0
1,4,4,2023_57042524_OR.jpg,7,1,2,2023_57005982_40.jpg,1
10,4,3,2023_57092893_PL.jpg,10,4,7,2023_57078635_99.jpg,0
1,3,1,2023_57072001_01.jpg,9,4,3,2019_53090511_CU.jpg,0
4,1,5,2023_57057759_70.jpg,10,1,6,2023_57077759_99.jpg,1
1,3,1,2023_57055810_05.jpg,10,4,3,2023_57096026_99.jpg,0
10,4,4,2020_67010057_PL.jpg,10,4,4,2020_67050049_PL.jpg,1
1,4,7,2023_57062510_02.jpg,9,4,3,2019_53075776_CG.jpg,0
10,4,4,2023_57086003_PL.jpg,10,4,3,2023_57034776_PL.jpg,1
1,4,4,2023_57014041_OR.jpg,9,4,7,2023_57041501_30.jpg,1
10,1,1,2019_53063023_99.jpg,5,4,3,2019_57005506_80.jpg,0
4,1,2,2019_53090656_70.jpg,1,3,1,2019_43059077_05.jpg,1
1,4,4,2019_57015922_OR.jpg,1,4,4,2019_53021098_OR.jpg,1
10,4,4,2024_67010361_PL.jpg,9,4,7,2019_53013794_CU.jpg,0
10,4,3,2019_57057700_99.jpg,10,3,1,2019_57037893_99.jpg,1
8,7,2,2023_57040161_TC.jpg,10,4,3,2022_37010684_99.jpg,1
9,4,3,2019_57075782_CG.jpg,1,4,7,2019_53090517_08.jpg,0
1,4,4,2019_53021097_OR.jpg,1,4,4,2019_53041096_OR.jpg,1
10,1,1,2023_57029404_96.jpg,10,4,7,2023_57004429_99.jpg,0
7,1,2,2019_57039203_43.jpg,10,4,7,2019_53080681_99.jpg,1
1,4,4,2019_43003756_OR.jpg,1,1,2,2023_57064434_05.jpg,0
1,7,2,2023_57099122_05.jpg,1,5,1,2023_57009126_05.jpg,1
1,1,2,2019_53021059_08.jpg,1,4,4,2019_53073754_OR.jpg,1
10,4,3,2023_57094385_99.jpg,10,4,3,2023_57047903_99.jpg,0
10,4,4,2023_57016021_PL.jpg,1,7,2,2023_57094427_02.jpg,1
1,4,4,2019_53093787_OR.jpg,1,4,3,2019_53023770_04.jpg,0
8,4,7,2019_53033778_50.jpg,1,4,7,2019_53050632_08.jpg,0
1,4,4,2019_53030691_OR.jpg,1,4,3,2019_53095770_01.jpg,1
1,4,4,2019_43025786_OR.jpg,9,4,3,2019_53090511_CU.jpg,1
1,4,4,2019_53080809_OR.jpg,1,4,7,2019_53030619_01.jpg,1
10,6,2,2023_57035970_99.jpg,1,4,3,2023_57094775_OR.jpg,0
1,1,1,2019_53030908_01.jpg,8,7,2,2019_53010582_TM.jpg,0
8,1,2,2019_53040524_56.jpg,1,4,4,2019_53050829_OR.jpg,0
1,4,3,2019_53040578_01.jpg,1,4,4,2019_53091158_OR.jpg,1
5,4,3,2023_47075965_80.jpg,5,1,1,2023_57062888_85.jpg,0
1,4,7,2019_43013751_08.jpg,1,4,4,2023_47025854_OR.jpg,0
10,3,1,2019_57007895_99.jpg,10,1,5,2023_47916303_99.jpg,0
1,4,4,2023_47005851_OR.jpg,10,4,3,2023_57050102_99.jpg,1
10,4,4,2023_57020115_PL.jpg,5,1,6,2023_47008653_88.jpg,1
10,4,7,2019_53083780_99.jpg,1,5,1,2023_57025801_05.jpg,0
10,3,1,2019_53080778_99.jpg,1,4,4,2019_57047881_OR.jpg,1
1,4,4,2019_53073754_OR.jpg,10,1,6,2019_51015752_99.jpg,1
10,4,3,2023_57055147_99.jpg,8,7,2,2023_57044409_TO.jpg,0
1,4,4,2023_57050271_OR.jpg,1,7,2,2023_47076304_01.jpg,1
9,1,2,2019_51035734_30.jpg,9,4,3,2019_57075782_CG.jpg,1
10,4,7,2019_53013773_99.jpg,8,7,2,2019_53000586_TS.jpg,0
10,1,6,2023_57056027_99.jpg,1,4,3,2019_53095770_01.jpg,0
1,4,4,2023_57084028_OR.jpg,1,4,4,2023_57024031_OR.jpg,1
10,4,3,2019_53050591_GM.jpg,1,4,4,2019_57005939_OR.jpg,1
9,4,7,2019_53005785_31.jpg,1,5,1,2019_53015776_07.jpg,0
1,4,4,2019_53060830_OR.jpg,1,1,5,2023_57041174_01.jpg,0
1,4,7,2023_57063262_02.jpg,7,1,5,2023_57067715_43.jpg,1
1,4,4,2019_57005939_OR.jpg,4,4,3,2023_57020434_70.jpg,0
7,3,2,2019_57017888_43.jpg,10,4,3,2019_53093047_99.jpg,0
10,4,3,2023_57056013_92.jpg,10,4,4,2023_57016021_PL.jpg,1
1,4,4,2019_53080809_OR.jpg,10,4,3,2023_57046024_99.jpg,0
10,4,3,2019_53065769_99.jpg,8,7,2,2019_53010582_TO.jpg,1
2,4,3,2022_37000577_10.jpg,7,4,3,2023_57050109_40.jpg,1
10,1,2,2023_57000365_99.jpg,9,1,6,2019_53083750_30.jpg,0
1,4,3,2019_53050576_01.jpg,10,4,7,2019_53050548_99.jpg,1
2,4,3,2019_53050581_11.jpg,1,4,4,2019_53080828_OR.jpg,0
1,4,4,2019_53080809_OR.jpg,4,4,4,2019_53050682_70.jpg,1
10,4,7,2023_57004786_99.jpg,10,4,3,2023_57084388_99.jpg,1
1,1,1,2023_57023277_02.jpg,1,1,2,2019_43067759_01.jpg,0
1,4,4,2023_57051178_OR.jpg,1,4,4,2023_57041178_OR.jpg,1
1,4,4,2019_53080716_OR.jpg,10,4,3,2023_57050099_PL.jpg,0
10,1,2,2019_51005750_99.jpg,4,4,4,2019_53050682_70.jpg,0
1,4,4,2023_57086003_OR.jpg,10,3,2,2023_57085795_92.jpg,0
10,4,4,2023_57004052_PL.jpg,10,4,3,2023_57055147_99.jpg,1
10,4,3,2023_57092893_PL.jpg,10,4,4,2023_57026006_PL.jpg,1
1,1,2,2023_57050266_05.jpg,1,4,7,2023_47095840_02.jpg,1
10,3,1,2019_53010929_99.jpg,7,1,2,2019_51063733_49.jpg,1
10,4,4,2023_57050294_PL.jpg,10,5,1,2023_57013801_99.jpg,1
1,4,4,2019_43005802_OR.jpg,1,4,3,2019_53040578_01.jpg,1
1,4,3,2023_57050265_05.jpg,4,4,4,2019_53083752_70.jpg,0
1,4,4,2019_53103803_OR.jpg,10,4,7,2023_57082892_99.jpg,0
1,3,2,2023_57078272_05.jpg,1,4,3,2023_57098272_09.jpg,1
1,4,4,2019_53071096_OR.jpg,10,3,2,2019_57055910_94.jpg,1
10,2,5,2023_57065978_99.jpg,10,5,6,2023_57099089_99.jpg,1
10,4,4,2019_53033767_90.jpg,10,4,7,2019_53023772_99.jpg,1
1,4,4,2019_53080716_OR.jpg,1,1,1,2019_51050592_02.jpg,0
1,4,3,2019_53000623_08.jpg,1,4,4,2019_53003760_05.jpg,1
7,1,2,2023_47067109_40.jpg,1,4,4,2023_57050294_OR.jpg,0
10,5,1,2019_57029217_PL.jpg,1,5,1,2023_57093796_05.jpg,0
10,4,7,2023_47005921_99.jpg,6,4,3,2023_57040049_68.jpg,1
10,4,3,2023_57002513_99.jpg,10,4,7,2023_57004430_99.jpg,1
10,4,3,2020_67000502_99.jpg,8,5,1,2023_57023798_56.jpg,0
5,5,1,2023_57020255_88.jpg,10,7,2,2023_57031175_TN.jpg,0
1,4,4,2023_57006017_OR.jpg,10,4,3,2023_57066011_99.jpg,1
3,4,7,2019_53020589_28.jpg,10,5,1,2019_57017901_99.jpg,0
1,5,1,2019_53075030_05.jpg,4,4,8,2019_53043738_79.jpg,1
10,4,4,2023_57050294_PL.jpg,10,4,3,2023_57056013_92.jpg,1
10,4,7,2023_57034423_99.jpg,10,4,3,2023_57056013_92.jpg,1
1,4,4,2019_53033776_OR.jpg,1,4,4,2019_53073754_OR.jpg,1
1,4,3,2023_57020012_01.jpg,1,4,4,2023_47035849_01.jpg,1
1,1,1,2019_53033037_02.jpg,10,4,3,2023_57001097_99.jpg,0
1,1,1,2023_57003777_02.jpg,10,7,2,2023_57040294_TN.jpg,1
1,4,7,2019_53030594_08.jpg,1,4,4,2019_53033766_OR.jpg,0
10,4,3,2019_57057700_99.jpg,1,5,1,2020_67070539_05.jpg,1
10,4,3,2019_57006706_99.jpg,1,4,4,2019_43047758_05.jpg,0
10,1,2,2023_57033811_99.jpg,10,3,1,2023_57057730_92.jpg,1
1,3,1,2023_57050230_01.jpg,1,4,4,2019_53080809_OR.jpg,0
8,5,1,2023_57023797_56.jpg,10,3,1,2023_57082001_99.jpg,1
10,3,1,2023_47093774_99.jpg,1,5,1,2023_47005874_01.jpg,1
10,4,4,2023_47055950_PL.jpg,1,4,8,2019_53035016_09.jpg,0
1,1,5,2019_41055822_08.jpg,1,4,4,2019_43003753_OR.jpg,1
10,1,2,2019_51015735_99.jpg,10,4,3,2023_47056715_PL.jpg,0
10,4,4,2019_57005952_PL.jpg,10,1,2,2019_51020771_99.jpg,1
1,4,4,2019_57027883_OR.jpg,10,4,3,2019_57075911_99.jpg,0
10,4,4,2023_57050294_PL.jpg,8,7,2,2023_57032894_TM.jpg,1
8,4,4,2023_57000422_52.jpg,1,4,7,2023_57000351_08.jpg,1
1,4,4,2019_43090723_OR.jpg,10,4,4,2023_57086003_PL.jpg,0
10,4,3,2023_57010037_99.jpg,1,4,3,2024_67040262_01.jpg,0
1,4,4,2023_57036004_OR.jpg,1,4,7,2019_53040593_08.jpg,0
1,4,4,2019_53023035_OR.jpg,10,4,7,2023_57014425_PL.jpg,0
1,1,5,2023_57064393_09.jpg,5,5,1,2019_53020866_86.jpg,0
10,4,3,2020_67000502_99.jpg,1,4,7,2019_53060511_08.jpg,0
1,4,7,2023_57000180_01.jpg,9,4,7,2019_57067893_CU.jpg,0
6,5,1,2019_57029218_61.jpg,1,4,4,2019_57005937_OR.jpg,0
1,1,2,2023_57027719_05.jpg,1,5,1,2019_53005769_05.jpg,0
7,1,2,2019_53050903_41.jpg,7,1,5,2019_53080906_41.jpg,1
1,4,3,2019_53040578_01.jpg,1,4,4,2019_53030691_OR.jpg,1
1,1,2,2023_57000146_08.jpg,10,4,3,2023_57046024_99.jpg,1
10,4,3,2023_57002513_99.jpg,1,4,4,2023_57026006_OR.jpg,1
10,4,7,2023_57054422_99.jpg,1,5,1,2019_43049062_05.jpg,0
1,4,4,2019_43077762_01.jpg,10,4,3,2023_57063800_99.jpg,0
8,7,2,2023_57042003_TC.jpg,1,4,4,2019_57015922_OR.jpg,0
